day_index,date,history_days_used,candidate,method,quantile,margin_kw,historical_score,realized_candidate_score,mae_kw,daily_energy_error_kwh
0,2025-01-01,0,persistence_q80,persistence,0.8,0.0,,38484.132105176664,1468.7909319444443,-35250.98236666666
1,2025-01-02,1,persistence_q80,persistence,0.8,0.0,,5376.348374468333,61.1504520833333,479.1431500000002
2,2025-01-03,2,persistence_q80,persistence,0.8,21.023339999999756,,1990.024583807667,89.82607472222215,-1818.0018933333304
3,2025-01-04,3,persistence_q80,persistence,0.8,25.36858000000052,,2376.870440650665,72.71813263888897,-1002.2675366666706
4,2025-01-05,4,persistence_q80,persistence,0.8,32.36250000000007,,4499.396931569997,79.99467569444444,162.62631666666493
5,2025-01-06,5,persistence_q80,persistence,0.8,59.93368000000003,,3872.3007365406665,59.116169444444445,-152.4907866666668
6,2025-01-07,6,persistence_q80,persistence,0.8,77.1341200000002,,9414.479847821993,121.45322749999998,1065.3998199999955
7,2025-01-08,7,mean14_q90,mean14,0.9,190.7239,8490.204972314274,3151.977819320713,135.6436943452381,-3235.0679404761904
8,2025-01-09,8,mean14_q85,mean14,0.85,102.85561499999991,7819.524487670553,4073.342545070501,91.85783428819438,-1007.8269704166638
9,2025-01-10,9,mean14_q90,mean14,0.9,206.64600000000019,7353.269647542819,3003.829446445926,107.66434382716054,-2051.4330888888912
10,2025-01-11,10,mean14_q90,mean14,0.9,223.71990600000012,6918.325627433131,2345.602854380433,125.67103719444448,-2965.7215786666684
11,2025-01-12,11,mean14_q90,mean14,0.9,209.32912500000006,6502.623557155612,2761.0637997891663,83.04730052083336,-1667.2624125000016
12,2025-01-13,12,mean14_q90,mean14,0.9,223.71990600000012,6190.826910708408,5297.914989912613,204.01239869675933,-4896.297568722224
13,2025-01-14,13,mean14_q85,mean14,0.85,134.61659249999985,6086.612677219453,3079.777997246235,122.66073778979691,-2937.5537377884593
14,2025-01-15,14,mean14_q85,mean14,0.85,113.78445187499987,5871.838771507079,2845.0018529243193,85.9514706491815,-1683.9117481994028
15,2025-01-16,15,mean14_q85,mean14,0.85,102.96390999999961,5670.049643601563,3182.4393721589267,106.74306022817444,-2302.4784197618997
16,2025-01-17,16,mean14_q85,mean14,0.85,99.47177583333274,5514.574001636399,2593.937460301425,114.26377848296933,-2512.432817123009
17,2025-01-18,17,mean14_q85,mean14,0.85,94.36335787878777,5342.7718521461065,2323.8254917034214,102.2171221837421,-2114.636432236649
18,2025-01-19,18,mean14_q85,mean14,0.85,92.56829464285761,5175.0526098992905,3146.566782840713,89.49271536458347,-1602.236403273815
19,2025-01-20,19,mean14_q85,mean14,0.85,94.31037772727275,5068.29019794884,3113.4285530387506,112.92325648223306,-2530.17271788961
20,2025-01-21,20,mean14_q85,mean14,0.85,91.93331250000014,4970.547115703335,5882.898569762652,255.05885016121044,-6121.412403869051
21,2025-01-22,21,mean14_q80,mean14,0.8,32.311529999999934,4997.4288632920725,4117.6374226759535,75.25089986111112,-459.3180228571415
22,2025-01-23,22,mean30_q80,mean30,0.8,30.128025000000033,4941.340933674766,3547.2145390406813,61.70098401199498,-24.13191325757583
23,2025-01-24,23,mean30_q80,mean30,0.8,33.56382500000018,4880.72674260372,2566.457212773861,158.25402543025376,-3792.5231389492783
24,2025-01-25,24,mean30_q80,mean30,0.8,26.52044000000013,4784.298845527474,3858.055493877405,219.1709813252316,-5260.103551805558
25,2025-01-26,25,mean30_q80,mean30,0.8,19.67328000000004,4747.249111461471,4660.042557760864,115.9171335833333,-1485.1331153333335
26,2025-01-27,26,mean30_q80,mean30,0.8,17.666028571428797,4743.895013242217,4666.056551933767,177.0231247977718,-4177.971629578757
27,2025-01-28,27,mean30_q80,mean30,0.8,13.161734736841899,4741.01210726783,2894.2053349752114,99.18562680799211,-2052.2822579467174
28,2025-01-29,28,mean30_q80,mean30,0.8,9.82114285714292,4675.054722543094,6805.933118908157,269.7053683779763,-6472.928841071431
29,2025-01-30,29,mean14_q80,mean14,0.8,20.175315000000236,4714.443568812822,2869.0063871842294,123.80179762400806,-2970.381640833336
30,2025-01-31,30,mean14_q80,mean14,0.8,14.072450000000575,4652.9289960918695,2406.279698494998,90.4803417658731,-1559.611228571434
31,2025-02-01,31,mean14_q80,mean14,0.8,21.504999999999995,3450.3339158691474,1536.5461073557149,90.67006309523815,-2100.719295238096
32,2025-02-02,32,mean14_q80,mean14,0.8,12.265539999999742,3322.3405069653936,2977.6728985644004,130.97844180555538,-3143.482603333329
33,2025-02-03,33,mean14_q80,mean14,0.8,3.668821666666694,3341.699894522145,3171.5960922673935,95.95824976025135,-1674.5781096428602
34,2025-02-04,34,mean14_q80,mean14,0.8,2.89109342857143,3392.123367522621,5963.8398478127365,82.09500603968257,615.0304438095252
35,2025-02-05,35,mean14_q80,mean14,0.8,3.8619750000000006,3528.681793711949,4517.472832669169,92.25732269345238,-389.9726482142838
36,2025-02-06,36,mean14_q80,mean14,0.8,3.4292345454545536,3547.3339763510876,2376.463716679475,63.23344070165945,-876.9478651082233
37,2025-02-07,37,mean14_q80,mean14,0.8,2.5468504761904804,3385.257577891626,4061.428612934166,166.0249344047619,-2878.7381469841257
38,2025-02-08,38,weighted30_q80,weighted30,0.8,0.15482455411255475,3436.292266693098,2805.0113488978373,151.72785770900248,-3314.5228559923657
39,2025-02-09,39,weighted30_q80,weighted30,0.8,0.09191938011696037,3370.8355359129873,5262.553278728121,116.52469398894593,-846.3695808367629
40,2025-02-10,40,weighted30_q80,weighted30,0.8,0.08577200000000039,3433.269579090526,5277.721517707429,244.74288047401444,-5872.513968523299
41,2025-02-11,41,weighted30_q80,weighted30,0.8,0.033076129032259205,3553.0170555789814,4069.410862836242,187.11763300029875,-4489.51962577061
42,2025-02-12,42,mean14_q80,mean14,0.8,0.04025714285714398,3558.3297838477174,3181.192139599167,135.18269102182538,-3046.0734654761895
43,2025-02-13,43,mean14_q80,mean14,0.8,0.06941428571428625,3537.9074163901632,5939.070371655002,282.6750564484129,-6783.192678571431
44,2025-02-14,44,mean14_q80,mean14,0.8,0.03528571428571431,3654.290176074109,2822.2316377605916,134.1872790674603,-2321.931371428576
45,2025-02-15,45,mean14_q80,mean14,0.8,0.020575714285714367,3653.445906498443,2211.7305675008574,121.29069841269842,-2680.717341428572
46,2025-02-16,46,mean14_q80,mean14,0.8,0.012207142857142857,3617.4543673991107,4817.829446948454,125.8649043154762,-1459.507574999999
47,2025-02-17,47,mean14_q80,mean14,0.8,0.013414285714285771,3699.574252008427,4897.714867377142,216.41824975198404,-5154.297953571426
48,2025-02-18,48,mean14_q80,mean14,0.8,0.008222857142857153,3789.6781814575943,3960.78056638457,172.17190717261894,-4089.7748845238066
49,2025-02-19,49,mean14_q80,mean14,0.8,0.002181428571428692,3811.964094906768,2845.3575348761156,139.34255958333316,-3204.6648142857093
50,2025-02-20,50,mean14_q80,mean14,0.8,0.0009285714285714287,3806.243625735599,4026.8776645757157,167.32861592261906,-3776.104670238094
51,2025-02-21,51,mean14_q80,mean14,0.8,0.0009285714285714287,3760.944049344164,2044.7714060414282,138.5476166666666,-3324.9343833333323
